iter	Passed	Remaining
715	1252	496
716	1253	494
717	1255	493
718	1257	491
719	1259	489
720	1260	487
721	1262	486
722	1264	484
723	1265	482
724	1267	480
725	1269	478
726	1270	477
727	1272	475
728	1274	473
729	1276	472
730	1278	470
731	1280	468
732	1282	467
733	1284	465
734	1285	463
735	1287	461
736	1289	460
737	1290	458
738	1292	456
739	1294	454
740	1295	452
741	1297	451
742	1299	449
743	1301	447
744	1302	445
745	1304	444
746	1305	442
747	1307	440
748	1309	438
749	1310	436
750	1312	435
751	1314	433
752	1315	431
753	1317	429
754	1319	428
755	1320	426
756	1322	424
757	1324	422
758	1326	421
759	1327	419
760	1329	417
761	1331	415
762	1332	413
763	1334	412
764	1336	410
765	1337	408
766	1339	406
767	1340	405
768	1342	403
769	1344	401
770	1345	399
771	1347	397
772	1349	396
773	1350	394
774	1352	392
775	1354	390
776	1355	389
777	1357	387
778	1359	385
779	1361	383
780	1362	382
781	1364	380
782	1366	378
783	1367	376
784	1369	375
785	1371	373
786	1372	371
787	1374	369
788	1376	368
789	1377	366
790	1379	364
791	1381	362
792	1382	360
793	1384	359
794	1386	357
795	1387	355
796	1389	353
797	1391	352
798	1393	350
799	1394	348
800	1396	346
801	1398	345
802	1400	343
803	1401	341
804	1403	339
805	1405	338
806	1406	336
807	1408	334
808	1410	332
809	1411	331
810	1413	329
811	1415	327
812	1417	325
813	1418	324
814	1420	322
815	1422	320
816	1423	318
817	1425	317
818	1427	315
819	1428	313
820	1430	311
821	1432	310
822	1434	308
823	1436	306
824	1437	305
825	1439	303
826	1441	301
827	1443	299
828	1444	297
829	1446	296
830	1448	294
831	1449	292
832	1451	291
833	1453	289
834	1455	287
835	1456	285
836	1458	284
837	1460	282
838	1461	280
839	1463	278
840	1465	276
841	1466	275
842	1468	273
843	1470	271
844	1471	269
845	1473	268
846	1475	266
847	1476	264
848	1478	262
849	1479	261
850	1481	259
851	1483	257
852	1485	255
853	1486	254
854	1488	252
855	1490	250
856	1492	249
857	1494	247
858	1495	245
859	1497	243
860	1499	242
861	1500	240
862	1502	238
863	1504	236
864	1506	235
865	1507	233
866	1509	231
867	1511	229
868	1512	228
869	1514	226
870	1516	224
871	1517	222
872	1519	221
873	1521	219
874	1522	217
875	1524	215
876	1526	214
877	1527	212
878	1529	210
879	1531	208
880	1532	207
881	1534	205
882	1536	203
883	1537	201
884	1539	200
885	1541	198
886	1542	196
887	1544	194
888	1546	193
889	1548	191
890	1550	189
891	1551	187
892	1553	186
893	1555	184
894	1556	182
895	1558	180
896	1560	179
897	1562	177
898	1563	175
899	1565	173
900	1567	172
901	1569	170
902	1570	168
903	1572	167
904	1574	165
905	1575	163
906	1577	161
907	1579	160
908	1581	158
909	1582	156
910	1584	154
