,0
361,0.1
362,0.1
363,0.1
364,0.1
365,0.12
366,0.12
367,0.15
368,0.15
369,0.2
370,0.2
371,0.22
372,0.22
373,0.28
374,0.28
375,0.28
376,0.28
377,0.28
378,0.28
379,0.28
380,0.28
381,0.26
382,0.26
383,0.26
384,0.25
385,0.25
386,0.25
387,0.25
388,0.25
389,0.25
390,0.25
391,0.25
392,0.23
393,0.23
394,0.23
395,0.23
396,0.19
397,0.19
398,0.18
399,0.17
400,0.17
401,0.15
402,0.15
403,0.15
404,0.15
405,0.15
406,0.13
407,0.12
408,0.1
409,0.1
410,0.1
411,0.09
412,0.09
413,0.09
414,0.09
415,0.09
416,0.09
417,0.09
418,0.09
419,0.09
420,0.09
421,0.09
422,0.09
423,0.09
424,0.11
425,0.11
426,0.11
427,0.11
428,0.11
429,0.11
430,0.14
431,0.14
432,0.14
433,0.14
434,0.14
435,0.14
436,0.1
437,0.08
438,0.05
439,0.05
440,0.0
441,0.02
442,0.04
443,0.04
444,0.04
445,0.04
446,0.05
447,0.05
448,0.09
449,0.09
450,0.08
451,0.08
452,0.16
453,0.16
454,0.16
455,0.16
456,0.13
457,0.13
458,0.13
459,0.13
460,0.1
461,0.1
462,0.1
463,0.09
464,0.09
465,0.09
466,0.09
467,0.09
468,0.09
469,0.12
470,0.12
471,0.12
472,0.11
473,0.12
474,0.12
475,0.12
476,0.12
477,0.12
478,0.1
479,0.07
480,0.03
481,0.03
482,0.03
483,0.03
484,0.03
485,0.05
486,0.04
487,0.04
488,0.04
489,0.04
490,0.04
491,0.04
492,0.12
493,0.12
494,0.12
495,0.12
496,0.12
497,0.12
498,0.1
499,0.1
500,0.1
501,0.1
502,0.09
503,0.09
504,0.09
505,0.09
506,0.09
507,0.09
508,0.07
509,0.07
510,0.08
511,0.08
512,0.08
513,0.06
514,0.06
515,0.05
516,0.03
517,0.03
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.02
525,0.05
526,0.05
527,0.11
528,0.02
529,0.02
530,0.02
531,0.02
532,0.12
533,0.12
534,0.11
535,0.11
536,0.11
537,0.05
538,0.05
539,0.05
540,0.05
541,0.05
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.05
557,0.05
558,0.05
559,0.08
560,0.08
561,0.08
562,0.08
563,0.08
564,0.08
565,0.09
566,0.09
567,0.1
568,0.1
569,0.1
570,0.1
571,0.1
572,0.1
573,0.07
574,0.07
575,0.07
576,0.07
577,0.07
578,0.07
579,0.06
580,0.06
581,0.06
582,0.18
583,0.18
584,0.18
585,0.18
586,0.18
587,0.19
588,0.19
589,0.19
590,0.23
591,0.23
592,0.23
593,0.23
594,0.23
595,0.23
596,0.23
597,0.2
598,0.2
599,0.18
600,0.18
601,0.17
602,0.17
603,0.17
604,0.17
605,0.17
606,0.17
607,0.17
608,0.17
609,0.17
610,0.15
611,0.15
612,0.15
613,0.12
614,0.12
615,0.11
616,0.06
617,0.06
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.02
624,0.02
625,0.02
626,0.03
627,0.03
628,0.02
629,0.02
630,0.04
631,0.04
632,0.04
633,0.03
634,0.03
635,0.03
636,0.09
637,0.09
638,0.09
639,0.18
640,0.18
641,0.18
642,0.15
643,0.12
644,0.12
645,0.12
646,0.12
647,0.12
648,0.12
649,0.09
650,0.09
651,0.09
652,0.09
653,0.08
654,0.08
655,0.08
656,0.08
657,0.1
658,0.1
659,0.1
660,0.1
661,0.1
662,0.1
663,0.12
664,0.12
665,0.12
666,0.12
667,0.1
668,0.1
669,0.1
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.01
696,0.01
697,0.01
698,0.05
699,0.02
700,0.02
701,0.02
702,0.02
703,0.01
704,0.0
705,0.02
706,0.15
707,0.15
708,0.12
709,0.12
