,Snow Depth,target,Temp,Precipitation,Precip Amount,Luftfuktighet
213,0.47,0.4,1.5,regn,0.0025,79.065248381965
214,0.4,0.37,0.2,snöblandat regn,0.0004,79.065248381965
215,0.4,0.37,0.2,regn,0.0004,79.065248381965
216,0.4,0.37,0.2,snöblandat regn,0.0004,79.065248381965
217,0.37,0.31,0.3,snöblandat regn,0.0005,79.065248381965
218,0.31,0.29,0.5,snöblandat regn,0.0019,79.065248381965
219,0.31,0.29,0.5,snöblandat regn,0.0019,79.065248381965
220,0.31,0.29,0.5,regn,0.0019,79.065248381965
221,0.29,0.25,0.4,regn,0.0015,79.065248381965
222,0.29,0.25,0.4,regn,0.0015,79.065248381965
223,0.25,0.23,1.4,regn,0.0,79.065248381965
224,0.23,0.2,1.5,none,0.0,79.065248381965
225,0.2,0.18,2.4,none,0.0,79.065248381965
226,0.18,0.16,-0.1,none,0.0,79.065248381965
227,0.16,0.12,2.2,regn,0.0021000000000000003,79.065248381965
228,0.16,0.12,2.2,regn,0.0021000000000000003,79.065248381965
229,0.12,0.07,4.3,regn,0.002,79.065248381965
230,0.12,0.07,4.3,regn,0.002,79.065248381965
231,0.07,0.0,3.6,regn,0.0047,79.065248381965
232,0.07,0.0,3.6,regn,0.0047,79.065248381965
233,0.0,0.05,3.9,regn,0.0,79.065248381965
234,0.05,0.0,1.3,regn,0.0055,79.065248381965
235,0.05,0.0,1.3,regn,0.0055,79.065248381965
236,0.0,0.0,2.1,regn,0.0066,79.065248381965
237,0.0,0.0,-0.5,regn,0.0006,79.065248381965
238,0.0,0.0,-0.5,regn,0.0006,79.065248381965
239,0.0,0.0,-0.5,duggregn,0.0006,79.065248381965
240,0.0,0.0,-0.2,regn,0.012199999999999999,79.065248381965
241,0.0,0.0,-0.2,duggregn,0.012199999999999999,79.065248381965
242,0.0,0.0,-0.2,snowfall,0.012199999999999999,79.065248381965
243,0.0,0.0,-0.2,regn,0.012199999999999999,79.065248381965
244,0.0,0.0,-5.4,snowfall,0.0,79.065248381965
245,0.0,0.0,-3.9,regn,0.0002,79.065248381965
246,0.0,0.0,-3.9,regn,0.0002,79.065248381965
247,0.0,0.0,-3.3,snöblandat regn,0.0047,79.065248381965
248,0.0,0.05,-2.1,snowfall,0.0046,79.065248381965
249,0.0,0.05,-2.1,snowfall,0.0046,79.065248381965
250,0.05,0.0,-0.2,duggregn,0.0008,79.065248381965
251,0.05,0.0,-0.2,snowfall,0.0008,79.065248381965
252,0.05,0.0,-0.2,duggregn,0.0008,79.065248381965
253,0.0,0.0,0.5,snowfall,0.0006,79.065248381965
254,0.0,0.0,0.5,regn,0.0006,79.065248381965
255,0.0,0.0,0.5,regn,0.0006,79.065248381965
256,0.0,0.0,0.5,duggregn,0.0006,79.065248381965
257,0.0,0.0,-11.4,snowfall,0.0,79.065248381965
258,0.0,0.02,-3.4,regn,0.0032,79.065248381965
259,0.02,0.02,-8.8,snowfall,0.0,79.065248381965
260,0.02,0.02,-8.3,snowfall,0.0002,79.065248381965
261,0.02,0.02,-8.3,snowfall,0.0002,79.065248381965
262,0.02,0.02,-8.4,snowfall,0.0006,79.065248381965
263,0.02,0.02,-8.4,snowfall,0.0006,79.065248381965
264,0.02,0.09,-6.5,snowfall,0.0025,79.065248381965
265,0.02,0.09,-6.5,snowfall,0.0025,79.065248381965
